사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,자치구,총승차인원,총하차인원,총유동인구
202604,3호선,가락시장,52,17,3574,858,9171,5768,25008,12474,25578,30127,18604,15744,16203,11176,15113,11802,15220,12662,14937,13420,15345,13794,16512,16157,17645,18098,22070,22848,29244,29757,13030,19974,10859,13284,8920,11815,6333,10855,2586,5612,511,2063,1,39,0,0,0,0,20260503,송파구,286516,278344,564860
202604,3호선,경찰병원,8,0,3387,295,9173,3780,27893,11833,28443,31629,17446,17242,13262,9957,11944,7499,12563,8869,11276,10742,11586,9673,11492,10441,11494,11381,17945,17635,20600,24700,8170,18046,6054,11837,5270,9767,3535,9467,1051,5451,129,1578,0,0,2,1,0,0,20260503,송파구,232723,231823,464546
202604,3호선,고속터미널,135,1,5637,4379,8494,37001,30317,55727,51715,82629,56545,100120,61300,104358,73420,108755,88507,100714,97529,101798,110738,108096,126355,114256,133540,112701,150579,122282,144852,128801,126449,81048,141932,51245,86317,39189,55759,28419,21169,13529,2617,2642,0,0,0,0,0,0,20260503,서초구,1573906,1497690,3071596
202604,3호선,구파발,186,4,14155,1930,38484,10352,93846,26473,91163,33191,51863,28284,35795,31276,34776,28333,35744,30943,34794,32949,34775,34774,39368,36183,43418,45593,43893,54690,34665,84239,23918,67155,19400,40086,16401,35088,12205,31066,3705,20378,680,8944,0,323,0,0,0,0,20260503,은평구,703234,682254,1385488
202604,3호선,금호,53,8,4603,645,12343,2717,32119,4965,41351,10216,25551,6918,16773,7381,14304,7773,13391,9207,12747,10769,10942,12286,10811,15506,11277,18053,12495,23651,11842,32654,9329,23412,6314,16982,5093,13871,3834,13605,1758,6941,385,1922,0,0,0,0,0,0,20260503,성동구,257315,239482,496797
202604,3호선,녹번,92,2,10247,439,28538,3881,77534,8824,83024,19759,47326,12365,30328,10573,25143,11033,25148,14058,21687,15760,18320,17976,17941,23415,19428,30972,19003,40723,20834,66681,11179,52713,7956,33123,6121,29206,4297,26225,1648,15528,278,4365,0,0,0,0,0,0,20260503,은평구,476072,437621,913693
202604,3호선,대청,78,2,4262,1125,13863,7627,34462,22553,41219,30395,23269,14169,18144,10345,16343,9354,15647,12079,16061,13399,14383,13453,19811,16875,24969,17983,28599,23944,28582,32514,12883,25714,9257,18391,7599,15940,5541,17086,1817,8074,309,2819,1,4,0,0,0,0,20260503,강남구,337099,313845,650944
202604,3호선,대치,24,3,3433,813,15851,8739,35209,19923,34626,27089,21511,19934,16774,14673,14995,13666,17096,18211,17257,22818,16827,20853,18254,26494,21123,31895,29613,34380,28849,36888,19359,26740,14617,16177,16941,15062,35299,12443,3973,6524,442,2331,0,2,0,0,0,0,20260503,강남구,382073,375658,757731
202604,3호선,도곡,26,22,1380,442,6015,5175,15258,17003,17785,24844,12017,18080,9521,9460,9019,8829,9680,8144,9324,9140,9322,9018,12402,10195,14935,10800,18726,13442,19711,15674,10015,11767,7542,7529,7143,6843,5187,5886,1294,3412,268,2093,1,331,0,0,0,0,20260503,강남구,196571,198129,394700
202604,3호선,독립문,187,2,5346,881,7105,6556,19849,17244,22829,25425,17834,25082,15398,21945,16342,14923,18556,14367,16079,16078,17405,14811,19550,15129,19970,15952,19660,16958,18141,20461,8991,16082,7134,10915,5439,9524,3751,8189,1253,5108,180,2147,0,635,0,0,0,0,20260503,서대문구,260999,278414,539413
202604,3호선,동대입구,10,1,1554,1506,3372,12583,5903,19491,9218,72289,9928,47868,11151,50290,14164,38040,15063,31168,25572,33840,27713,23366,30823,19379,36199,19605,52819,23453,50596,24444,26737,11992,29956,7284,21730,6645,15368,4937,4836,3339,777,1301,0,65,0,0,0,0,20260503,중구,393489,452886,846375
202604,3호선,매봉,16,1,2083,948,8333,10801,21214,28514,24746,83462,17818,36074,17141,20669,16369,20612,17946,17919,19068,17575,21881,17031,25568,17817,28013,19172,44771,23764,67709,28677,23779,17838,18643,11579,19282,9643,10582,8895,3079,4467,440,1489,0,45,0,0,0,0,20260503,강남구,408481,396992,805473
202604,3호선,무악재,8,2,2023,155,6561,1662,18150,3730,21226,7142,13034,4780,8655,4012,9035,4364,8253,6330,6321,5978,5626,6011,6659,7639,7082,9666,6405,11907,6602,17716,3530,14219,2524,9352,2133,8199,1294,6725,558,4444,142,1266,0,0,0,0,0,0,20260503,서대문구,135821,135299,271120
202604,3호선,불광,18,1,9750,1515,20584,6896,54232,12767,66045,34515,39564,29864,29586,25850,27391,25961,28887,27899,28558,30949,28217,30082,30618,34223,32120,37982,31469,44518,32276,63628,19045,47811,15128,30746,12018,26757,8082,23619,3619,14361,648,4529,2,19,0,0,0,0,20260503,은평구,517857,554492,1072349
202604,3호선,수서,169,1,4925,2553,15570,18672,42793,40988,49257,59762,34196,38760,38335,26362,29102,22415,34560,26949,35798,25391,26675,25498,38009,30640,40863,34060,51980,40404,54567,54889,26096,41108,25244,28865,16924,24747,16352,22476,7278,9491,784,3536,2,333,0,1,0,0,20260503,강남구,589479,577901,1167380
202604,3호선,신사,36,0,3200,1780,6555,17474,12617,45066,19489,111340,17825,143112,21133,69497,26364,47703,30668,43850,36319,46310,43009,41548,49634,38766,59263,40758,88189,50867,127279,61675,88403,32706,58608,18161,54136,14835,44323,11891,18400,7877,2804,3531,0,0,0,0,0,0,20260503,강남구,808254,848747,1657001
202604,3호선,안국,20,1,1844,2331,3100,28831,6840,105524,12523,128031,15404,99660,19350,84257,29027,83819,42260,70652,50971,67045,62002,61960,82965,50233,106207,42128,142806,35758,135596,31573,66046,15515,51462,8453,42479,7064,21717,6767,6688,3759,727,1079,0,0,0,0,0,0,20260503,종로구,900034,934440,1834474
202604,3호선,압구정,68,0,3336,2446,9180,25420,19454,53477,27653,144232,24492,153694,28382,82587,34154,67976,42115,53907,47158,55434,57191,51342,66462,49326,75647,49210,99899,59185,134279,60122,94035,34946,74955,19359,52111,15319,34290,12135,11166,6568,1737,2386,2,190,0,0,0,0,20260503,강남구,937766,999261,1937027
