구명,연도,업종,총개수,폐업수,폐업률
구로구,2022,한식음식점,1967,172,8.74
구로구,2023,분식전문점,350,41,11.71
구로구,2023,양식음식점,99,10,10.1
구로구,2023,일식음식점,175,23,13.14
구로구,2023,중식음식점,372,30,8.06
구로구,2023,치킨전문점,667,60,9.0
구로구,2023,커피-음료,560,80,14.29
구로구,2023,한식음식점,1931,152,7.87
구로구,2024,분식전문점,338,41,12.13
구로구,2024,양식음식점,98,16,16.33
구로구,2024,일식음식점,172,21,12.21
구로구,2024,중식음식점,383,52,13.58
구로구,2024,치킨전문점,648,64,9.88
구로구,2024,커피-음료,544,71,13.05
구로구,2024,한식음식점,1931,157,8.13
금천구,2019,분식전문점,232,21,9.05
금천구,2019,양식음식점,82,14,17.07
금천구,2019,일식음식점,80,10,12.5
금천구,2019,중식음식점,182,13,7.14
금천구,2019,치킨전문점,444,21,4.73
금천구,2019,커피-음료,347,44,12.68
금천구,2019,한식음식점,1521,109,7.17
금천구,2020,분식전문점,218,14,6.42
금천구,2020,양식음식점,76,4,5.26
금천구,2020,일식음식점,78,10,12.82
금천구,2020,중식음식점,189,16,8.47
금천구,2020,치킨전문점,454,34,7.49
금천구,2020,커피-음료,372,31,8.33
금천구,2020,한식음식점,1567,99,6.32
금천구,2021,분식전문점,227,18,7.93
금천구,2021,양식음식점,86,10,11.63
금천구,2021,일식음식점,84,5,5.95
금천구,2021,중식음식점,206,19,9.22
금천구,2021,치킨전문점,447,45,10.07
금천구,2021,커피-음료,423,51,12.06
금천구,2021,한식음식점,1645,160,9.73
금천구,2022,분식전문점,220,14,6.36
금천구,2022,양식음식점,94,12,12.77
금천구,2022,일식음식점,95,6,6.32
금천구,2022,중식음식점,219,26,11.87
금천구,2022,치킨전문점,425,35,8.24
금천구,2022,커피-음료,448,49,10.94
금천구,2022,한식음식점,1606,147,9.15
금천구,2023,분식전문점,213,19,8.92
금천구,2023,양식음식점,97,12,12.37
금천구,2023,일식음식점,112,17,15.18
금천구,2023,중식음식점,225,21,9.33
금천구,2023,치킨전문점,413,36,8.72
금천구,2023,커피-음료,480,56,11.67
금천구,2023,한식음식점,1665,136,8.17
금천구,2024,분식전문점,202,19,9.41
금천구,2024,양식음식점,100,12,12.0
금천구,2024,일식음식점,122,11,9.02
금천구,2024,중식음식점,224,28,12.5
금천구,2024,치킨전문점,401,34,8.48
금천구,2024,커피-음료,502,50,9.96
금천구,2024,한식음식점,1706,163,9.55
노원구,2019,분식전문점,392,48,12.24
노원구,2019,양식음식점,126,14,11.11
노원구,2019,일식음식점,180,15,8.33
노원구,2019,중식음식점,138,9,6.52
